,name,price,days,rooms,bathrooms,capacity,date,province
340,av del libertador 1700,,,4,,,25-11-2023,buenos-aires
341,calle pellegrini 100,1300,,2,2,,25-11-2023,buenos-aires
342,robinson crusoe 100 piso pb,1550,,2,2,,25-11-2023,buenos-aires
343,6 al 667,,,1,,,25-11-2023,buenos-aires
344,rene favaloro 3300 piso 1,1300000,,,,,25-11-2023,buenos-aires
345,studios de la bahia 1,,,1,,,25-11-2023,buenos-aires
346,de las tijeretas 700,2600,,3,2,,25-11-2023,buenos-aires
347,solis al 2300,1150,,1,,,25-11-2023,buenos-aires
348,costanera esquina frias 3200 piso 1,1300,,3,,,25-11-2023,buenos-aires
349,juan carlos cruz al 1900,900,,1,1,,25-11-2023,buenos-aires
350,juan bautista alberdi  entre rawson  y rosales,1200,,2,,,25-11-2023,buenos-aires
351,rawson al 2500,750,,1,,,25-11-2023,buenos-aires
352,rosales al 2700,1900,,2,,,25-11-2023,buenos-aires
353,libertador al 2300,950,,2,,,25-11-2023,buenos-aires
354,matias sturiza  al 400 star tower,,,2,,,25-11-2023,buenos-aires
355,entre rios  al 600,700,,1,,,25-11-2023,buenos-aires
356,santa fe 1700,40000,,1,,,25-11-2023,buenos-aires
357,santa fe 1700,120000,,2,,,25-11-2023,buenos-aires
358,amobladoav libertador 3 amb 1700 piso 3,1200,,,2,,25-11-2023,buenos-aires
359,av libertador 886 8deg c,,,2,,,25-11-2023,buenos-aires
360,25 de mayo 300 piso pb,500,,1,,,25-11-2023,buenos-aires
361,j b alberdi al 500,800,,1,1,,25-11-2023,buenos-aires
362,bv maritimo patricio peralta ramos 2865,40000,,1,,,25-11-2023,buenos-aires
363,av del golf al 600,,,1,,,25-11-2023,buenos-aires
364,av del libertador   al 1200,900,,1,,,25-11-2023,buenos-aires
365,avenida del libertador 100,,,,1,,25-11-2023,buenos-aires
366,la rioja 2100 piso pb,200000,,1,,,25-11-2023,buenos-aires
367,av s an bernardo 100,585000,,2,1,,25-11-2023,buenos-aires
368,19 esq 61 1400 piso pb,185000,,1,,,25-11-2023,buenos-aires
369,boulevard camacua entre av libertador y juan diaz de solis,,,1,1,,25-11-2023,buenos-aires
370,avenida maipu al 2000,350000,,1,,,25-11-2023,buenos-aires
371,alte brown  al 2160,23000,,1,,,25-11-2023,buenos-aires
372,alm brown al 1700,25000,,1,,,25-11-2023,buenos-aires
373,juan jose castelli 200,40,,1,,,25-11-2023,buenos-aires
374,el reflejo  avenida del mirador 100 piso pb,980000,,3,,,25-11-2023,buenos-aires
375,avenida rivadavia 18400 piso 7,130000,,1,1,,25-11-2023,buenos-aires
376,sarratea 500,19,,,1,,25-11-2023,buenos-aires
377,portezuelo,1200,,2,,,25-11-2023,buenos-aires
378,leandro n alem 4300,111,,2,1,,25-11-2023,buenos-aires
379,jose verdi y joaquin v gonzale 100,,,1,,,25-11-2023,buenos-aires
380,consultar direccion,,,1,1,,25-11-2023,buenos-aires
381,tomas espora 300 piso pb,360000,,2,1,,25-11-2023,buenos-aires
382,brandsen 3300 piso 4,40000,,1,,,25-11-2023,buenos-aires
383,60 10 y 11  piso 6,,,,1,,25-11-2023,buenos-aires
384,leandro n alem 4300,1111,,2,1,,25-11-2023,buenos-aires
385,la balconada nordelta 700 piso pb,1500,,2,,,25-11-2023,buenos-aires
386,blvd chico 100,1700,,2,,,25-11-2023,buenos-aires
387,av de los lagos,,,,,,25-11-2023,buenos-aires
388,av del puerto 300,,,2,2,,25-11-2023,buenos-aires
389,zentiva torre ii 001 100,2900,,2,2,,25-11-2023,buenos-aires
390,margarita weild 1500,200000,,1,,,25-11-2023,buenos-aires
391,aristobulo del valle 3400,60000,,1,,,25-11-2023,buenos-aires
392,ucrania 200,190000,,2,,,25-11-2023,buenos-aires
